Nom de la région	Numéro de la circonscription	Nom de la circonscription	Dernière date de mise à jour au format ISO 8601	Résultats finaux	Nombre de bureaux complétés	Nombre total de bureaux	Nombre de votes valides	Nombre de votes rejetés	Nombre de votes exercés	Nombre d'électeurs inscrits	Taux de vote valide	Taux de vote rejeté	Taux de participation
06-Montréal	318	Saint-Laurent	2018-10-17T10:10:42,609-04:00	true	178	178	28514	406	28920	56749	98.6	1.4	50.96
06-Montréal	330	Sainte-Marie-Saint-Jacques	2018-10-17T10:10:42,609-04:00	true	157	157	25221	266	25487	42894	98.96	1.04	59.42
06-Montréal	300	Verdun	2018-10-17T10:10:42,609-04:00	true	162	162	31130	354	31484	49826	98.88	1.12	63.19
06-Montréal	358	Viau	2018-10-17T10:10:42,609-04:00	true	142	142	21686	568	22254	41646	97.45	2.55	53.44
06-Montréal	332	Westmount-Saint-Louis	2018-10-17T10:10:42,609-04:00	true	171	171	21805	178	21983	45352	99.19	0.81	48.47
07-Outaouais	620	Chapleau	2018-10-17T10:10:42,609-04:00	true	179	179	32300	557	32857	54962	98.3	1.7	59.78
07-Outaouais	614	Gatineau	2018-10-17T10:10:42,609-04:00	true	198	198	34944	441	35385	59189	98.75	1.25	59.78
07-Outaouais	602	Hull	2018-10-17T10:10:42,609-04:00	true	186	186	31158	411	31569	54787	98.7	1.3	57.62
07-Outaouais	626	Papineau	2018-10-17T10:10:42,609-04:00	true	204	204	36168	446	36614	60137	98.78	1.22	60.88
07-Outaouais	608	Pontiac	2018-10-17T10:10:42,609-04:00	true	175	175	27592	249	27841	52009	99.11	0.89	53.53
08-Abitibi-Témiscamingue	648	Abitibi-Est	2018-10-17T10:10:42,609-04:00	true	125	125	20991	551	21542	33770	97.44	2.56	63.79
08-Abitibi-Témiscamingue	642	Abitibi-Ouest	2018-10-17T10:10:42,609-04:00	true	139	139	22509	372	22881	35339	98.37	1.63	64.75
08-Abitibi-Témiscamingue	636	Rouyn-Noranda-Témiscamingue	2018-10-17T10:10:42,609-04:00	true	161	161	29003	400	29403	44824	98.64	1.36	65.6
09-Côte-Nord	902	Duplessis	2018-10-17T10:10:42,609-04:00	true	180	180	20465	378	20843	37349	98.19	1.81	55.81
09-Côte-Nord	906	René-Lévesque	2018-10-17T10:10:42,609-04:00	true	128	128	19079	277	19356	32944	98.57	1.43	58.75
10-Nord-du-Québec	938	Ungava	2018-10-17T10:10:42,609-04:00	true	115	115	8564	182	8746	28314	97.92	2.08	30.89
11-Gaspésie-Îles-de-la-Madeleine	850	Bonaventure	2018-10-17T10:10:42,609-04:00	true	141	141	21882	242	22124	35530	98.91	1.09	62.27
11-Gaspésie-Îles-de-la-Madeleine	854	Gaspé	2018-10-17T10:10:42,609-04:00	true	132	132	17968	297	18265	30033	98.37	1.63	60.82
11-Gaspésie-Îles-de-la-Madeleine	858	Îles-de-la-Madeleine	2018-10-17T10:10:42,609-04:00	true	48	48	7645	151	7796	10729	98.06	1.94	72.66
12-Chaudière-Appalaches	806	Beauce-Nord	2018-10-17T10:10:42,609-04:00	true	142	142	30193	530	30723	43398	98.27	1.73	70.79
12-Chaudière-Appalaches	822	Bellechasse	2018-10-17T10:10:42,609-04:00	true	153	153	30274	535	30809	43947	98.26	1.74	70.1
12-Chaudière-Appalaches	814	Chutes-de-la-Chaudière	2018-10-17T10:10:42,609-04:00	true	194	194	43316	764	44080	57523	98.27	1.73	76.63
12-Chaudière-Appalaches	818	Lévis	2018-10-17T10:10:42,609-04:00	true	169	169	33891	525	34416	48200	98.47	1.53	71.4
12-Chaudière-Appalaches	810	Lotbinière-Frontenac	2018-10-17T10:10:42,609-04:00	true	190	190	37855	746	38601	55581	98.07	1.93	69.45
13-Laval	460	Chomedey	2018-10-17T10:10:42,609-04:00	true	182	182	30339	526	30865	57131	98.3	1.7	54.02
13-Laval	466	Fabre	2018-10-17T10:10:42,609-04:00	true	164	164	32374	488	32862	53670	98.52	1.48	61.23
13-Laval	454	Laval-des-Rapides	2018-10-17T10:10:42,609-04:00	true	183	183	33730	611	34341	55678	98.22	1.78	61.68
13-Laval	482	Mille-Îles	2018-10-17T10:10:42,609-04:00	true	141	141	29058	439	29497	44374	98.51	1.49	66.47
